Stellaris®	B-Method
RNA	I-Method
FISH	I-Method
Protocol	O
for	O
Adherent	B-Reagent
Cells	I-Reagent

Grow	B-Action
cells	B-Reagent
on	O
18	B-Generic-Measure
mm	I-Generic-Measure
round	B-Location
#	I-Location
1	I-Location
coverglass	I-Location
in	O
a	O
12-well	B-Modifier
cell	I-Modifier
culture	I-Modifier
plate.	B-Location

Aspirate	B-Action
growth	B-Reagent
medium,	I-Reagent
and	O
wash	B-Action
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS.	B-Reagent

Add	B-Action
1	B-Amount
mL	I-Amount
of	O
fixation	B-Reagent
buffer.	I-Reagent

Incubate	B-Action
at	O
room	B-Temperature
temperature	I-Temperature
for	O
10	B-Time
minutes.	I-Time

Wash	B-Action
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS.	B-Reagent

Wash	B-Action
again	O
with	O
1	B-Amount
mL	I-Amount
of	O
1X	B-Concentration
PBS.	B-Reagent

To	O
permeabilize,	B-Action
immerse	I-Action
cells	B-Reagent
in	O
1	B-Amount
mL	I-Amount
of	O
70	B-Concentration
%	I-Concentration
(vol./vol.)	O

ethanol	B-Reagent
for	O
at	O
least	O
1	B-Time
hour	I-Time
at	O
+2	B-Temperature
to	I-Temperature
+8	I-Temperature
°C.	I-Temperature

If	O
frozen	O
before	O
using,	O
warm	B-Action
the	O
reconstituted	B-Reagent
probe	I-Reagent
solution	I-Reagent
to	O
room	B-Temperature
temperature.	I-Temperature

Mix	B-Action
well	B-Modifier
by	O
vortexing,	B-Action
then	O
centrifuge	B-Action
briefly.	B-Modifier

To	O
prepare	B-Action
the	O
hybridization	B-Reagent
buffer	I-Reagent
containing	O
probe,	B-Reagent
add	B-Action
1	B-Amount
µL	I-Amount
of	O
probe	B-Reagent
stock	I-Reagent
solution	I-Reagent
to	O
100	B-Amount
µL	I-Amount
of	O
hybridization	B-Reagent
buffer,	I-Reagent
and	O
then	O
vortex	B-Action
and	O
centrifuge,	B-Action
which	O
is	O
enough	O
for	O
one	B-Numerical
coverslip.	B-Location

This	O
creates	O
a	O
working	O
probe	B-Reagent
solution	I-Reagent
of	O
