Phenol	B-Method
chloroform	I-Method
extraction	I-Method

Dilute	B-Action
your	O
nucleic	B-Reagent
acid	I-Reagent
sample	I-Reagent
to	O
100	B-Amount
700	I-Amount
L	I-Amount
or	O
divide	B-Action
your	O
samples	B-Reagent
into	O
tubes	B-Location
such	O
that	O
you	O
have	O
no	B-Modifier
more	I-Modifier
than	I-Modifier
700	B-Amount
L	I-Amount
per	B-Modifier
tube	B-Location
.	O

Add	B-Action
an	O
equal	B-Amount
volume	I-Amount
of	O
phenol	B-Reagent
to	O
the	O
tube	B-Location
,	O
vortex	B-Action
vigorously	B-Modifier
to	O
mix	B-Action
the	O
phases	B-Reagent
.	O

Spin	B-Action
in	O
a	O
microfuge	B-Device
at	O
top	B-Speed
speed	I-Speed
for	O
1	B-Time
2	I-Time
min	I-Time
to	O
separate	B-Action
the	O
phases	B-Reagent
.	O

Remove	B-Action
the	O
aqueous	B-Reagent
phase	I-Reagent
to	O
a	O
new	B-Location
tube	I-Location
,	O
being	B-Modifier
careful	I-Modifier
not	I-Modifier
to	I-Modifier
transfer	B-Action
any	B-Modifier
of	O
the	O
protein	B-Reagent
at	O
the	O
phase	B-Location
interface	I-Location
.	O

Repeat	O
the	O
phenol	B-Reagent
extraction	B-Action
from	O
step	O
4	O
.	O

Repeat	O
the	O
phenol	B-Reagent
extraction	B-Action
from	O
step	O
4	O
.	O

Extract	B-Action
the	O
sample	B-Reagent
with	O
an	O
equal	B-Amount
volume	I-Amount
of	O
chloroform	B-Reagent
isoamyl	I-Reagent
alcohol	I-Reagent
to	I-Reagent
remove	B-Action
any	I-Action
trace	B-Modifier
phenol	B-Reagent
.	I-Reagent

Extract	B-Action
the	O
sample	B-Reagent
again	B-Modifier
with	O
an	O
equal	B-Amount
volume	I-Amount
of	O
chloroform	B-Reagent
isoamyl	I-Reagent
alcohol	I-Reagent
to	I-Reagent
remove	B-Action
any	I-Action
trace	B-Modifier
phenol	B-Reagent
.	I-Reagent

Precipitate	B-Action
the	O
nucleic	B-Reagent
acid	I-Reagent
.	O



